userid,cluster,Principal Component 1,Principal Component 2
94146,0,93.604674836853,-39.471666053391246
59690,1,-30.924757386308077,3.5118931282471837
513048,1,-35.115566950670306,2.721200986490085
513150,1,-26.756179108750683,4.3048658839403755
513078,2,25.191022275388253,-31.37289662549653
14646,1,-36.486479926879184,2.503256056268937
88917,1,-23.97828267667187,4.842600051502091
188086,1,-36.48557167924724,2.5351220452362404
59681,2,29.35657517035916,-30.595842259581328
513160,1,-36.49948558145474,2.437979489781476
159883,2,9.476644086020684,-24.174193228607656
13020,1,-22.575199736756538,5.085635626496155
657,0,77.50955824853283,23.77595890825795
94708,1,-8.824227512204573,-3.1213840077577903
68921,1,-29.29031182521567,2.3653965269731985
626316,3,37.19717984172893,16.212222061344843
80818,0,126.17948304132742,32.83070509227437
72210,1,-37.87839239965303,2.2531974415594433
166988,1,-32.34251802799415,3.2059927874486824
54699,1,-32.33017325423318,3.2483563856476043
5553,1,-30.937060199002993,3.5492528756067605
256937,3,21.909068764831986,13.352346827759176
